"user_id,""username"",""total_sessions"",""total_completed"",""completion_rate"",""avg_time_spent"",""avg_death_count"",""avg_max_checkpoint"",""avg_progress_score"",""avg_survival_score"",""avg_efficiency_score"",""avg_skill_score"",""min_skill_score"",""best_skill_score"",""first_session_at"",""last_session_at"",""skill_category"",""activity_category"""
"USER_30,""Player_30"",""41"",""7"",""17.07"",""421.78"",""14.93"",""3.17"",""0.6341"",""0.5573"",""0.5138"",""0.5639"",""0.2900"",""0.9372"",""2025-01-25 22:56:57.714875"",""2026-05-11 13:19:18.609163"",""Pemain Menengah"",""Pemain Aktif"""
"USER_47,""Player_47"",""40"",""6"",""15.00"",""450.00"",""18.65"",""2.83"",""0.5650"",""0.5994"",""0.4109"",""0.5242"",""0.1324"",""0.9750"",""2025-01-10 00:37:38.574287"",""2026-03-26 01:48:33.900107"",""Pemain Menengah"",""Pemain Aktif"""
"USER_4,""Player_4"",""40"",""7"",""17.50"",""383.68"",""14.73"",""3.23"",""0.6450"",""0.5670"",""0.5630"",""0.5840"",""0.2498"",""0.9083"",""2025-01-19 19:02:07.869563"",""2026-04-15 17:25:20.786173"",""Pemain Menengah"",""Pemain Aktif"""
"USER_13,""Player_13"",""40"",""5"",""12.50"",""460.08"",""15.55"",""3.10"",""0.6200"",""0.5663"",""0.4943"",""0.5538"",""0.1841"",""0.8419"",""2025-01-08 05:11:57.882883"",""2026-03-27 01:04:49.061921"",""Pemain Menengah"",""Pemain Aktif"""
"USER_36,""Player_36"",""40"",""13"",""32.50"",""461.05"",""15.15"",""3.23"",""0.6450"",""0.5529"",""0.5015"",""0.5648"",""0.2552"",""0.8419"",""2025-01-19 05:35:53.018915"",""2026-04-13 05:52:12.310589"",""Pemain Menengah"",""Pemain Aktif"""
"USER_3,""Player_3"",""39"",""4"",""10.26"",""423.95"",""15.92"",""2.87"",""0.5744"",""0.5195"",""0.4692"",""0.5177"",""0.2466"",""0.8283"",""2025-02-27 14:10:25.008645"",""2026-05-06 13:24:55.215411"",""Pemain Menengah"",""Pemain Aktif"""
"USER_11,""Player_11"",""39"",""7"",""17.95"",""474.41"",""19.18"",""3.28"",""0.6564"",""0.5555"",""0.4928"",""0.5621"",""0.2399"",""0.9022"",""2025-01-13 12:49:16.043348"",""2026-04-25 05:28:01.700888"",""Pemain Menengah"",""Pemain Aktif"""
"USER_26,""Player_26"",""39"",""8"",""20.51"",""413.18"",""16.72"",""2.74"",""0.5487"",""0.5320"",""0.5063"",""0.5200"",""0.2314"",""0.9247"",""2025-01-23 22:10:44.550027"",""2026-04-30 09:57:32.592581"",""Pemain Menengah"",""Pemain Aktif"""
"USER_29,""Player_29"",""39"",""5"",""12.82"",""439.79"",""14.74"",""3.08"",""0.6154"",""0.5641"",""0.4927"",""0.5532"",""0.1891"",""0.8272"",""2025-01-31 00:43:58.683768"",""2026-05-10 18:59:20.843898"",""Pemain Menengah"",""Pemain Aktif"""
"USER_19,""Player_19"",""38"",""10"",""26.32"",""415.95"",""13.79"",""3.47"",""0.6947"",""0.5423"",""0.5600"",""0.5980"",""0.3126"",""0.8481"",""2025-02-15 13:23:13.753375"",""2026-05-03 01:13:21.351628"",""Pemain Menengah"",""Pemain Aktif"""
"USER_28,""Player_28"",""38"",""3"",""7.89"",""462.89"",""16.63"",""2.71"",""0.5421"",""0.5290"",""0.4907"",""0.5097"",""0.2499"",""0.7669"",""2025-01-05 07:08:27.508459"",""2026-05-07 12:28:28.197286"",""Pemain Menengah"",""Pemain Aktif"""
"USER_1,""Player_1"",""38"",""5"",""13.16"",""425.95"",""16.68"",""3.00"",""0.6000"",""0.5636"",""0.4794"",""0.5457"",""0.2996"",""0.8806"",""2025-01-29 23:17:54.062137"",""2026-05-05 09:25:23.982459"",""Pemain Menengah"",""Pemain Aktif"""
"USER_9,""Player_9"",""38"",""7"",""18.42"",""431.66"",""15.61"",""3.29"",""0.6579"",""0.5478"",""0.5368"",""0.5768"",""0.3231"",""0.8653"",""2025-01-24 14:27:17.796639"",""2026-05-09 23:10:31.491095"",""Pemain Menengah"",""Pemain Aktif"""
"USER_37,""Player_37"",""37"",""3"",""8.11"",""479.41"",""17.11"",""2.97"",""0.5946"",""0.5889"",""0.4462"",""0.5349"",""0.2879"",""0.7769"",""2025-01-06 07:30:00.69492"",""2026-04-20 22:35:18.483126"",""Pemain Menengah"",""Pemain Aktif"""
"USER_17,""Player_17"",""37"",""7"",""18.92"",""450.38"",""13.11"",""2.95"",""0.5892"",""0.5714"",""0.4981"",""0.5411"",""0.1392"",""0.8322"",""2025-01-01 21:26:56.301079"",""2026-04-17 11:06:16.478231"",""Pemain Menengah"",""Pemain Aktif"""
"USER_24,""Player_24"",""37"",""7"",""18.92"",""439.76"",""15.70"",""3.08"",""0.6162"",""0.5908"",""0.4870"",""0.5549"",""0.2787"",""0.8356"",""2025-01-04 06:55:41.935232"",""2026-04-10 06:28:28.825751"",""Pemain Menengah"",""Pemain Aktif"""
"USER_38,""Player_38"",""36"",""8"",""22.22"",""435.08"",""12.06"",""3.31"",""0.6611"",""0.6778"",""0.4828"",""0.6105"",""0.2374"",""0.9319"",""2025-01-31 17:53:25.812063"",""2026-04-29 09:16:01.813608"",""Pemain Menengah"",""Pemain Aktif"""
"USER_10,""Player_10"",""36"",""7"",""19.44"",""401.83"",""15.58"",""3.03"",""0.6056"",""0.5928"",""0.4721"",""0.5581"",""0.2069"",""0.8889"",""2025-01-10 14:28:06.962175"",""2026-05-01 19:22:14.975543"",""Pemain Menengah"",""Pemain Aktif"""
"USER_21,""Player_21"",""36"",""7"",""19.44"",""405.22"",""15.11"",""3.28"",""0.6556"",""0.5985"",""0.5137"",""0.5867"",""0.2171"",""0.8733"",""2025-01-02 00:44:27.09982"",""2026-05-03 06:35:00.286729"",""Pemain Menengah"",""Pemain Aktif"""
"USER_12,""Player_12"",""35"",""9"",""25.71"",""405.14"",""12.40"",""3.03"",""0.6057"",""0.6675"",""0.4644"",""0.5720"",""0.1494"",""0.8814"",""2025-01-01 23:08:42.35288"",""2026-04-17 19:46:36.76402"",""Pemain Menengah"",""Pemain Aktif"""
"USER_5,""Player_5"",""35"",""7"",""20.00"",""365.23"",""18.09"",""3.23"",""0.6457"",""0.5055"",""0.5536"",""0.5654"",""0.2649"",""0.9019"",""2025-03-20 12:10:55.074339"",""2026-03-30 03:36:00.53186"",""Pemain Menengah"",""Pemain Aktif"""
"USER_33,""Player_33"",""34"",""6"",""17.65"",""408.03"",""13.76"",""3.09"",""0.6176"",""0.6276"",""0.4640"",""0.5671"",""0.1443"",""0.8656"",""2025-01-21 06:25:54.694572"",""2026-05-07 03:35:45.878652"",""Pemain Menengah"",""Pemain Aktif"""
"USER_27,""Player_27"",""34"",""7"",""20.59"",""452.26"",""19.38"",""3.21"",""0.6412"",""0.5325"",""0.4906"",""0.5496"",""0.2503"",""0.8236"",""2025-01-23 07:57:32.70432"",""2026-05-04 20:51:25.400786"",""Pemain Menengah"",""Pemain Aktif"""
"USER_15,""Player_15"",""34"",""7"",""20.59"",""412.26"",""16.44"",""3.21"",""0.6412"",""0.5596"",""0.5064"",""0.5651"",""0.1841"",""0.8364"",""2025-01-24 22:04:52.877332"",""2026-04-27 06:22:13.005856"",""Pemain Menengah"",""Pemain Aktif"""
"USER_8,""Player_8"",""34"",""6"",""17.65"",""404.62"",""13.94"",""2.76"",""0.5529"",""0.6637"",""0.4204"",""0.5420"",""0.1283"",""0.9033"",""2025-02-02 01:35:37.900502"",""2026-03-30 05:59:27.352001"",""Pemain Menengah"",""Pemain Aktif"""
"USER_20,""Player_20"",""33"",""7"",""21.21"",""415.12"",""21.12"",""3.24"",""0.6485"",""0.5445"",""0.4946"",""0.5613"",""0.3306"",""0.8739"",""2025-01-04 03:10:31.126145"",""2026-05-04 08:40:39.507643"",""Pemain Menengah"",""Pemain Aktif"""
"USER_34,""Player_34"",""33"",""7"",""21.21"",""438.82"",""17.85"",""3.12"",""0.6242"",""0.5402"",""0.5128"",""0.5463"",""0.1026"",""0.8831"",""2025-01-09 13:29:15.928011"",""2026-04-27 22:54:29.329402"",""Pemain Menengah"",""Pemain Aktif"""
"USER_39,""Player_39"",""32"",""3"",""9.38"",""497.84"",""13.34"",""2.84"",""0.5688"",""0.6225"",""0.4461"",""0.5364"",""0.2755"",""0.9078"",""2025-01-09 10:46:19.691231"",""2026-04-25 04:47:17.963508"",""Pemain Menengah"",""Pemain Aktif"""
"USER_50,""Player_50"",""32"",""6"",""18.75"",""367.69"",""13.38"",""2.91"",""0.5813"",""0.6104"",""0.5081"",""0.5569"",""0.2288"",""0.9144"",""2025-01-07 01:52:57.759986"",""2026-04-14 17:44:36.055429"",""Pemain Menengah"",""Pemain Aktif"""
"USER_6,""Player_6"",""30"",""5"",""16.67"",""503.33"",""18.10"",""3.30"",""0.6600"",""0.4710"",""0.5063"",""0.5476"",""0.1756"",""0.8500"",""2025-02-05 14:56:09.280247"",""2026-04-15 15:50:57.745635"",""Pemain Menengah"",""Pemain Aktif"""
"USER_49,""Player_49"",""30"",""10"",""33.33"",""439.33"",""15.80"",""3.27"",""0.6533"",""0.5627"",""0.4877"",""0.5684"",""0.2846"",""0.8500"",""2025-01-06 17:34:07.01646"",""2026-04-23 19:56:10.827597"",""Pemain Menengah"",""Pemain Aktif"""
"USER_31,""Player_31"",""30"",""4"",""13.33"",""461.33"",""15.07"",""2.93"",""0.5867"",""0.5513"",""0.4595"",""0.5307"",""0.2406"",""0.8500"",""2025-01-15 23:23:49.356356"",""2026-05-10 02:14:50.807245"",""Pemain Menengah"",""Pemain Aktif"""
"USER_44,""Player_44"",""29"",""11"",""37.93"",""481.00"",""13.55"",""3.69"",""0.7379"",""0.6280"",""0.5006"",""0.6216"",""0.2758"",""0.8708"",""2025-01-07 12:58:07.454336"",""2026-04-22 20:18:58.924994"",""Pemain Menengah"",""Pemain Aktif"""
"USER_32,""Player_32"",""29"",""6"",""20.69"",""346.14"",""20.14"",""3.17"",""0.6345"",""0.4346"",""0.5977"",""0.5491"",""0.1190"",""0.9475"",""2025-02-03 06:11:35.910624"",""2026-04-24 07:06:57.603656"",""Pemain Menengah"",""Pemain Aktif"""
"USER_25,""Player_25"",""29"",""9"",""31.03"",""450.24"",""16.24"",""3.21"",""0.6414"",""0.5821"",""0.4627"",""0.5566"",""0.2452"",""0.8069"",""2025-02-18 08:23:20.793239"",""2026-05-12 19:17:11.57193"",""Pemain Menengah"",""Pemain Aktif"""
"10876608988,""simplybren_40"",""29"",""5"",""17.24"",""605.69"",""16.07"",""3.07"",""0.6138"",""0.6700"",""0.3052"",""0.5389"",""0.3016"",""0.7967"",""2025-01-30 18:50:21.906103"",""2026-05-09 16:20:40.004552"",""Pemain Menengah"",""Pemain Aktif"""
"USER_2,""Player_2"",""29"",""7"",""24.14"",""458.24"",""16.62"",""3.28"",""0.6552"",""0.5201"",""0.5000"",""0.5560"",""0.2682"",""0.7848"",""2025-01-13 07:00:40.334385"",""2026-05-08 09:38:45.229707"",""Pemain Menengah"",""Pemain Aktif"""
"USER_40,""Player_40"",""28"",""8"",""28.57"",""405.32"",""16.57"",""3.54"",""0.7071"",""0.6353"",""0.5098"",""0.6188"",""0.2866"",""0.8600"",""2025-02-25 00:15:16.466684"",""2026-05-03 14:45:29.475963"",""Pemain Menengah"",""Pemain Aktif"""
"USER_43,""Player_43"",""25"",""1"",""4.00"",""360.64"",""16.44"",""2.88"",""0.5760"",""0.5733"",""0.4781"",""0.5370"",""0.2799"",""0.7981"",""2025-01-08 09:46:11.918801"",""2026-05-12 05:35:31.691781"",""Pemain Menengah"",""Pemain Aktif"""
"USER_41,""Player_41"",""21"",""3"",""14.29"",""429.81"",""16.10"",""2.86"",""0.5714"",""0.6549"",""0.4351"",""0.5492"",""0.2289"",""0.8394"",""2025-01-13 04:31:50.737877"",""2026-04-07 21:51:49.043903"",""Pemain Menengah"",""Pemain Aktif"""
