"date","total_sessions","total_players","total_completed","completion_rate","average_deaths","average_time_spent"
"2025-07-11","5","4","0","0.00","10.80","440.60"
"2025-07-12","2","2","1","50.00","12.50","951.50"
"2025-07-13","1","1","0","0.00","3.00","579.00"
"2025-07-14","3","3","0","0.00","18.67","631.00"
"2025-07-15","2","2","0","0.00","11.00","455.00"
"2025-07-16","3","3","1","33.33","16.00","329.33"
"2025-07-17","3","3","2","66.67","12.33","271.00"
"2025-07-19","8","7","2","25.00","23.63","459.25"
"2025-07-20","3","3","1","33.33","10.33","381.67"
"2025-07-21","4","4","0","0.00","7.75","383.25"
"2025-07-22","3","3","0","0.00","11.67","239.67"
"2025-07-23","4","4","0","0.00","13.75","312.25"
"2025-07-24","3","3","2","66.67","14.00","615.33"
"2025-07-25","5","5","2","40.00","11.00","373.20"
"2025-07-26","5","5","2","40.00","15.60","462.60"
"2025-07-27","2","2","0","0.00","8.50","297.00"
"2025-07-28","2","2","1","50.00","19.50","609.00"
"2025-07-30","4","4","1","25.00","9.50","256.00"
"2025-07-31","4","4","1","25.00","5.50","221.25"
"2025-08-01","2","2","0","0.00","15.00","677.50"
"2025-08-02","1","1","0","0.00","16.00","138.00"
"2025-08-03","5","5","0","0.00","16.00","460.40"
"2025-08-04","1","1","0","0.00","1.00","456.00"
"2025-08-05","5","4","1","20.00","9.20","511.80"
"2025-08-06","4","4","1","25.00","13.00","536.25"
"2025-08-07","3","3","1","33.33","14.33","292.00"
"2025-08-08","3","3","0","0.00","22.33","622.67"
"2025-08-09","3","3","1","33.33","21.00","792.33"
"2025-08-10","5","4","1","20.00","14.60","527.80"
"2025-08-11","4","4","2","50.00","22.75","510.50"
"2025-08-12","1","1","1","100.00","8.00","594.00"
"2025-08-13","3","3","0","0.00","9.33","467.00"
"2025-08-14","2","2","1","50.00","11.50","310.00"
"2025-08-15","3","3","0","0.00","6.67","195.33"
"2025-08-16","6","6","1","16.67","15.83","510.33"
"2025-08-17","3","3","1","33.33","16.33","306.00"
"2025-08-18","1","1","0","0.00","12.00","431.00"
"2025-08-19","1","1","0","0.00","30.00","447.00"
"2025-08-20","5","5","1","20.00","9.20","329.00"
"2025-08-21","2","2","0","0.00","24.00","472.50"
"2025-08-22","3","2","0","0.00","22.00","651.00"
"2025-08-23","5","4","1","20.00","17.00","379.60"
"2025-08-25","2","2","0","0.00","14.50","461.00"
"2025-08-26","2","2","0","0.00","11.50","637.50"
"2025-08-27","6","6","0","0.00","22.00","272.67"
"2025-08-28","2","2","0","0.00","5.00","415.00"
"2025-08-30","1","1","0","0.00","46.00","291.00"
"2025-08-31","4","3","0","0.00","21.25","546.50"
"2025-09-01","4","4","0","0.00","9.50","488.75"
"2025-09-02","3","2","1","33.33","10.33","494.33"
"2025-09-03","3","3","1","33.33","34.33","549.00"
"2025-09-04","5","5","1","20.00","12.40","356.80"
"2025-09-05","1","1","0","0.00","1.00","554.00"
"2025-09-06","7","7","0","0.00","11.57","349.43"
"2025-09-07","1","1","1","100.00","36.00","69.00"
"2025-09-09","4","4","0","0.00","6.00","400.00"
"2025-09-10","1","1","1","100.00","24.00","687.00"
"2025-09-11","3","3","0","0.00","9.33","625.33"
"2025-09-12","4","4","0","0.00","26.00","446.75"
"2025-09-13","5","5","1","20.00","25.00","439.40"
"2025-09-15","1","1","0","0.00","12.00","509.00"
"2025-09-16","4","4","0","0.00","19.00","590.25"
"2025-09-17","1","1","0","0.00","12.00","375.00"
"2025-09-18","5","5","1","20.00","20.60","592.20"
"2025-09-19","2","2","0","0.00","24.00","384.50"
"2025-09-20","3","3","0","0.00","13.67","332.67"
"2025-09-21","1","1","0","0.00","15.00","611.00"
"2025-09-22","3","3","2","66.67","6.33","413.00"
"2025-09-23","3","3","1","33.33","12.33","190.67"
"2025-09-24","5","5","1","20.00","12.80","450.00"
"2025-09-25","1","1","0","0.00","5.00","158.00"
"2025-09-26","2","2","0","0.00","6.50","480.00"
"2025-09-27","3","3","0","0.00","16.67","802.33"
"2025-09-28","2","2","0","0.00","11.00","832.00"
"2025-09-29","2","2","0","0.00","23.00","466.50"
"2025-09-30","2","2","1","50.00","16.50","717.50"
"2025-10-01","1","1","0","0.00","8.00","90.00"
"2025-10-02","2","2","1","50.00","6.00","327.00"
"2025-10-03","2","2","0","0.00","7.50","290.00"
"2025-10-04","4","4","1","25.00","13.25","776.50"
"2025-10-05","5","5","1","20.00","14.20","506.40"
"2025-10-06","3","3","0","0.00","20.33","439.67"
"2025-10-07","2","2","0","0.00","17.50","248.50"
"2025-10-08","2","2","1","50.00","8.50","501.00"
"2025-10-09","4","4","1","25.00","12.25","473.50"
"2025-10-10","4","4","1","25.00","15.00","372.00"
"2025-10-11","3","3","1","33.33","7.67","206.67"
"2025-10-12","1","1","0","0.00","8.00","436.00"
"2025-10-13","3","3","0","0.00","12.67","220.67"
"2025-10-14","2","2","0","0.00","13.00","296.00"
"2025-10-15","3","3","1","33.33","9.00","601.67"
"2025-10-16","1","1","0","0.00","9.00","560.00"
"2025-10-17","3","3","1","33.33","6.00","187.67"
"2025-10-18","3","3","2","66.67","13.33","424.33"
"2025-10-19","4","4","0","0.00","18.75","293.25"
"2025-10-20","4","4","0","0.00","5.50","313.00"
"2025-10-21","4","3","1","25.00","19.50","309.25"
"2025-10-22","1","1","0","0.00","19.00","495.00"
"2025-10-23","3","3","1","33.33","26.67","665.00"
"2025-10-24","1","1","0","0.00","19.00","127.00"
"2025-10-25","1","1","0","0.00","19.00","321.00"
"2025-10-26","6","5","1","16.67","19.67","656.67"
"2025-10-27","4","4","1","25.00","25.50","535.75"
"2025-10-28","3","3","0","0.00","18.00","762.00"
"2025-10-29","1","1","0","0.00","48.00","486.00"
"2025-10-30","3","3","0","0.00","5.00","527.67"
"2025-10-31","2","2","1","50.00","19.50","564.50"
"2025-11-01","3","3","1","33.33","10.33","603.67"
"2025-11-03","8","8","1","12.50","14.25","523.63"
"2025-11-04","4","4","0","0.00","14.75","555.00"
"2025-11-05","1","1","1","100.00","14.00","235.00"
"2025-11-06","1","1","1","100.00","8.00","897.00"
"2025-11-07","1","1","0","0.00","16.00","1128.00"
"2025-11-08","4","4","0","0.00","11.00","538.25"
"2025-11-09","7","6","1","14.29","12.00","530.00"
"2025-11-10","5","4","1","20.00","16.20","664.20"
"2025-11-11","3","3","0","0.00","31.67","973.00"
"2025-11-12","4","4","0","0.00","6.50","469.50"
"2025-11-13","3","2","1","33.33","23.00","531.00"
"2025-11-14","2","2","0","0.00","18.50","132.50"
"2025-11-15","2","2","0","0.00","16.50","303.00"
"2025-11-16","2","2","0","0.00","21.50","203.50"
"2025-11-17","3","3","0","0.00","14.00","352.00"
"2025-11-19","3","3","2","66.67","14.67","269.00"
"2025-11-20","3","3","2","66.67","12.67","698.33"
"2025-11-21","2","2","1","50.00","9.50","386.00"
"2025-11-22","7","7","0","0.00","21.57","373.00"
"2025-11-23","2","2","1","50.00","5.50","337.50"
"2025-11-24","1","1","1","100.00","23.00","231.00"
"2025-11-25","1","1","0","0.00","44.00","520.00"
"2025-11-26","3","3","0","0.00","18.00","363.00"
"2025-11-27","6","6","2","33.33","19.67","424.00"
"2025-11-28","3","3","2","66.67","11.67","299.67"
"2025-11-29","3","3","1","33.33","29.00","317.00"
"2025-11-30","3","3","0","0.00","10.67","312.33"
"2025-12-01","3","3","0","0.00","11.00","492.00"
"2025-12-02","2","2","1","50.00","4.00","769.00"
"2025-12-03","3","3","0","0.00","15.00","276.33"
"2025-12-04","1","1","0","0.00","28.00","779.00"
"2025-12-05","2","2","2","100.00","6.50","493.50"
"2025-12-06","3","3","0","0.00","32.67","529.00"
"2025-12-07","4","4","0","0.00","14.50","564.00"
"2025-12-08","3","3","0","0.00","20.00","437.33"
"2025-12-09","7","7","1","14.29","11.57","494.86"
"2025-12-10","1","1","0","0.00","13.00","536.00"
"2025-12-11","5","5","0","0.00","5.60","450.20"
"2025-12-12","3","3","1","33.33","9.67","322.67"
"2025-12-13","5","5","2","40.00","5.40","669.40"
"2025-12-14","7","7","2","28.57","16.43","384.86"
"2025-12-15","2","2","1","50.00","7.50","441.00"
"2025-12-16","1","1","1","100.00","14.00","85.00"
"2025-12-18","2","2","0","0.00","9.00","603.00"
"2025-12-19","5","4","1","20.00","22.40","603.00"
"2025-12-20","2","2","0","0.00","8.00","470.00"
"2025-12-21","3","3","2","66.67","14.00","283.33"
"2025-12-22","5","5","0","0.00","7.40","399.40"
"2025-12-23","3","3","0","0.00","5.00","601.67"
"2025-12-24","2","2","0","0.00","15.50","660.00"
"2025-12-25","4","4","1","25.00","13.50","183.50"
"2025-12-26","2","2","0","0.00","12.50","898.00"
"2025-12-27","3","3","0","0.00","9.67","385.67"
"2025-12-29","6","5","0","0.00","11.67","665.50"
"2025-12-30","1","1","0","0.00","5.00","372.00"
"2025-12-31","3","3","1","33.33","32.33","713.00"
"2026-01-01","3","3","1","33.33","11.00","349.33"
"2026-01-02","4","4","0","0.00","19.00","589.50"
"2026-01-03","3","3","0","0.00","12.33","474.00"
"2026-01-04","3","3","0","0.00","16.00","499.00"
"2026-01-05","2","2","0","0.00","23.00","306.00"
"2026-01-07","2","2","2","100.00","15.50","954.50"
"2026-01-08","4","4","3","75.00","8.25","315.25"
"2026-01-09","6","5","2","33.33","11.67","462.67"
"2026-01-10","3","3","1","33.33","13.67","502.33"
"2026-01-11","7","7","0","0.00","14.57","386.43"
"2026-01-12","3","3","0","0.00","11.67","199.67"
"2026-01-13","5","5","1","20.00","8.20","437.80"
"2026-01-14","3","3","1","33.33","9.67","330.00"
"2026-01-15","7","7","2","28.57","12.14","401.43"
"2026-01-16","3","3","0","0.00","22.67","409.67"
"2026-01-17","2","2","1","50.00","13.50","503.50"
"2026-01-18","3","3","0","0.00","13.33","561.00"
"2026-01-19","5","5","1","20.00","12.80","306.00"
"2026-01-20","5","5","1","20.00","30.00","301.80"
"2026-01-21","2","2","0","0.00","18.00","211.00"
"2026-01-22","3","3","1","33.33","22.67","455.33"
"2026-01-23","2","2","0","0.00","17.00","653.50"
"2026-01-24","2","2","0","0.00","9.50","693.00"
"2026-01-25","1","1","0","0.00","20.00","872.00"
"2026-01-26","4","4","0","0.00","11.75","462.75"
"2026-01-27","3","3","0","0.00","17.33","319.00"
"2026-01-28","1","1","1","100.00","8.00","262.00"
"2026-01-29","4","4","2","50.00","24.50","485.50"
"2026-01-30","4","4","1","25.00","17.25","600.00"
"2026-01-31","5","4","4","80.00","15.80","414.20"
"2026-02-01","4","4","2","50.00","12.50","447.50"
"2026-02-02","3","3","0","0.00","13.67","549.67"
"2026-02-03","1","1","0","0.00","24.00","788.00"
"2026-02-04","3","3","2","66.67","12.00","534.33"
"2026-02-05","1","1","0","0.00","4.00","311.00"
"2026-02-06","2","2","0","0.00","14.50","355.50"
"2026-02-07","5","5","0","0.00","12.80","592.20"
"2026-02-08","7","6","2","28.57","23.00","549.57"
"2026-02-09","1","1","0","0.00","15.00","149.00"
"2026-02-10","3","3","0","0.00","12.67","697.67"
"2026-02-11","3","3","1","33.33","10.67","352.33"
"2026-02-13","2","2","0","0.00","9.00","705.50"
"2026-02-14","3","3","0","0.00","27.00","558.33"
"2026-02-15","1","1","1","100.00","2.00","540.00"
"2026-02-16","5","4","0","0.00","16.60","442.20"
"2026-02-17","1","1","0","0.00","1.00","156.00"
"2026-02-18","2","2","0","0.00","21.50","641.00"
"2026-02-19","1","1","0","0.00","10.00","420.00"
"2026-02-20","2","2","0","0.00","17.00","1113.50"
"2026-02-21","4","4","0","0.00","18.75","451.25"
"2026-02-22","2","2","0","0.00","13.00","778.50"
"2026-02-23","2","2","0","0.00","17.00","409.50"
"2026-02-24","6","6","2","33.33","20.83","598.50"
"2026-02-25","1","1","0","0.00","5.00","313.00"
"2026-02-26","4","4","0","0.00","14.25","412.00"
"2026-02-27","3","3","0","0.00","19.67","533.33"
"2026-02-28","2","2","0","0.00","3.00","452.50"
"2026-03-01","12","12","1","8.33","15.17","381.42"
"2026-03-02","15","14","4","26.67","19.27","334.80"
"2026-03-03","23","19","8","34.78","12.35","298.22"
"2026-03-04","16","14","5","31.25","15.06","376.25"
"2026-03-05","15","14","3","20.00","16.07","347.00"
"2026-03-06","16","14","1","6.25","17.88","385.31"
"2026-03-07","10","9","0","0.00","13.40","268.70"
"2026-03-08","13","10","2","15.38","10.92","261.31"
"2026-03-09","9","8","2","22.22","20.11","309.56"
"2026-03-10","18","16","3","16.67","16.17","297.50"
"2026-03-11","12","10","4","33.33","30.25","315.50"
"2026-03-12","16","13","4","25.00","17.44","304.81"
"2026-03-13","22","17","6","27.27","23.32","338.14"
"2026-03-14","18","18","4","22.22","11.94","328.72"
"2026-03-15","15","14","2","13.33","13.80","302.80"
"2026-03-16","17","14","4","23.53","21.12","323.00"
"2026-03-17","17","13","3","17.65","16.06","318.18"
"2026-03-18","16","16","1","6.25","13.50","268.38"
"2026-03-19","21","16","5","23.81","14.19","264.24"
"2026-03-20","12","12","3","25.00","19.00","304.92"
"2026-03-21","14","12","3","21.43","25.36","289.14"
"2026-03-22","19","15","8","42.11","18.68","349.00"
"2026-03-23","13","12","5","38.46","28.77","351.69"
"2026-03-24","14","13","3","21.43","9.21","343.29"
"2026-03-25","20","17","1","5.00","16.05","302.90"
"2026-03-26","27","18","7","25.93","23.63","332.26"
"2026-03-27","21","19","3","14.29","13.00","354.43"
"2026-03-28","12","11","3","25.00","19.58","331.75"
"2026-03-29","15","14","1","6.67","24.40","336.27"
"2026-03-30","13","10","2","15.38","23.85","385.54"
"2026-03-31","5","5","1","20.00","9.40","405.00"
"2026-04-01","7","7","1","14.29","20.43","477.29"
"2026-04-02","3","3","2","66.67","8.33","751.33"
"2026-04-03","1","1","0","0.00","25.00","545.00"
"2026-04-04","1","1","1","100.00","7.00","144.00"
"2026-04-05","3","3","0","0.00","23.33","561.33"
"2026-04-06","1","1","0","0.00","8.00","422.00"
"2026-04-07","3","3","0","0.00","16.33","428.00"
"2026-04-08","1","1","1","100.00","17.00","964.00"
"2026-04-09","2","2","1","50.00","34.00","382.50"
"2026-04-10","3","3","0","0.00","11.67","494.67"
"2026-04-11","2","2","1","50.00","35.50","316.00"
"2026-04-12","2","2","1","50.00","15.00","597.00"
"2026-04-13","5","5","1","20.00","17.20","534.60"
"2026-04-14","2","2","0","0.00","9.50","301.00"
"2026-04-15","3","3","1","33.33","11.33","488.67"
"2026-04-17","4","4","0","0.00","8.50","349.00"
"2026-04-18","2","2","0","0.00","8.50","523.00"
"2026-04-19","2","2","0","0.00","13.50","271.00"
"2026-04-20","3","3","0","0.00","13.00","497.67"
"2026-04-21","2","2","1","50.00","15.00","675.00"
"2026-04-22","6","5","0","0.00","12.67","360.50"
"2026-04-23","3","3","1","33.33","11.67","215.00"
"2026-04-24","4","3","1","25.00","19.25","444.50"
"2026-04-25","22","6","0","0.00","2.41","167.18"
"2026-04-26","24","4","3","12.50","2.21","94.54"
"2026-04-27","6","5","0","0.00","7.50","352.83"
"2026-04-28","5","5","1","20.00","25.60","597.00"
"2026-04-29","2","2","0","0.00","1.50","479.00"
"2026-04-30","6","6","3","50.00","16.00","622.83"
"2026-05-01","5","5","0","0.00","16.00","630.40"
"2026-05-02","2","2","1","50.00","11.50","582.00"
"2026-05-03","7","7","1","14.29","9.86","480.86"
"2026-05-04","5","4","1","20.00","7.20","613.40"
"2026-05-05","2","2","1","50.00","19.50","934.50"
"2026-05-06","1","1","0","0.00","50.00","181.00"
"2026-05-07","4","3","1","25.00","9.75","237.75"
"2026-05-08","1","1","0","0.00","3.00","343.00"
"2026-05-09","4","4","0","0.00","11.25","441.00"
"2026-05-10","3","3","0","0.00","10.00","527.00"
"2026-05-11","2","2","0","0.00","16.50","594.00"
"2026-05-12","11","3","3","27.27","3.73","128.91"
